text,cleaned_text,predicted
"Kita tetap negara demokrasi, malah lebih tinggi berbanding negara berdekatan dengan Amerika Syarikat",demokrasi banding,Positive
Bila umum bubar (Parlimen dibubar) maka masa itu mereka akan keluarkan semua peruntukan itu dan akan berlakulah hiruk-pikuk jentolak tolak batu-bata untuk baiki jalan berlubang. ,bubar bubar laku hiruk-pikuk jentolak tolak batu-bata lubang,Negative
"Pekedai buku, penjual, pencetak buku dan akhirnya kepada ekosistem yang melibatkan banyak isi rumah",kedai buku jual cetak buku ekosistem libat isi,Negative
"Kerajaan dan rakan sekerja saya, Menteri Pengangkutan (Datuk Seri Liow Tiong Lai) akan memastikan anda berkembang dan berjaya melampaui imaginasi kami,",raja rak angkut liow tiong lai kembang jaya lampau imaginasi,Positive
Kemerosotan yang paling ketara dapat dilihat dalam kalangan pengundi Melayu,tara lihat kalang undi melayu,Positive
"Jadi jika mahu bermacam-macam bantuan, kenalah kekalkan sokongan kepada kerajaan hari ini",bantu sokong raja,Negative
"Seperti yang kita tahu, ramai yang bertanding di bawah logo PKR, seperti dia katakan dia tidak sertai parti, tetapi sudah tentu kita akan berikan kerusi kepadanya.",tanding logo pkr ikan kerusi,Negative
 Mereka nak sijil halal tapi menekan hak asasi pekerja,sijil halal tekan hak asasi,Negative
"Aset bukan barangan, barangan milik kami, kos operasi juga milik kami, harga kami, kerugian kami, kos logistik tidak ada, saya kerugian sebanyak RM100 juta",aset milik milik rugi logistik rugi rm,Negative
Manakala bagi pegawai bantuan pula elaun RM7.80 dinaikkan kepada RM9.80 sejam.,bantu elaun rm rm jam,Negative
"Apabila diteliti, kita dapati, hutang rumah ini sebenarnya lebih banyak melibatkan golongan yang dikenali sebagai pelabur hartanah yang mana membeli rumah dengan jumlah yang banyak",teliti hutang libat golong nali hartanah beli,Negative
kerana keadilan dan perlunya kita beri suara kepada mereka yang tidak berdaya,rana adil suara daya,Negative
Jadi ia tidak seragam,seragam,Negative
"Namun, perlu diingat, mereka nampak lembut di luar namun keras di dalam",nampak lembut keras,Positive
Ia sudah selesai dan kita pastikan tugas dan tanggungjawab SPRM dijalankan dengan baik dan tidak terjejas,selesai tugas tanggungjawab sprm jejas,Negative
" Selain tanaman padi musnah, ada juga yang berdepan dengan keadaan rumah yang rosak atau kehilangan tempat tinggal.",tanam padi musnah rosak hilang tinggal,Negative
"Walaupun jumlah warga asing melakukan kesalahan ini rendah, tetapi kita tidak berkompromi dengan kes seperti ini",warga laku salah kompromi,Negative
"Kita dalam BN juga yang turun padang sampaikan bantuan, kemudian barulah mereka turun",padang bantu,Negative
"Beliau seorang pemimpin masyarakat, tetapi kenapa ditangkap sedemikian?",pimpin tangkap,Negative
"Kita boleh berbeza dalam politik, tetapi jangan halang pemimpin masyarakat (untuk menganjurkan majlis seumpama itu)",berbeza halang pimpin anjur umpama,Negative
"Bagi penduduk di sini, mereka tahu siapa wakil rakyat yang beri perkhidmatan dan kerja keras untuk mereka",duduk wakil khidmat keras,Positive
Ada yang putus sahabat dan lebih malang lagi ada yang putus hubungan keluarga,putus sahabat malang putus hubung keluarga,Negative
wujud pelbagai tohmahan yang mengatakan kerajaan pada hari ini adalah zalim maka itu adalah suatu proses normal dalam politik pilihan raya.,wujud tohmahan raja zalim normal pilih,Negative
Namun kes ini tiada kaitan dengan Datuk Nadzim Johan (Ketua Aktivis) dan PPIM Keramat,kait nadzim johan aktivis ppim keramat,Negative
"Meskipun tidak dicalonkan semula untuk mempertahankan kerusi, dia akan tetap membantu sesiapa sahaja yang mengantikan tempatnya.",calon tahan kerusi bantu anti,Negative
Apatah lagi penduduk negara ini terdiri daripada pelbagai kaum yang perlu dijaga keharmonian agama serta hubungan di antara kaum,duduk kaum jaga harmoni agama hubung kaum,Positive
Manifesto PAS saya baca sekali sahaja saya tahu dah retorik sahaja. ,manifesto pas baca retorik,Negative
Rakyat Selangor perlu buka mata dan menilai sebaiknya kerana banyak lagi isu termasuk ketidakcekapan pentadbiran Kerajaan Selangor,selangor buka rana masuk ketidakcekapan tadbir raja selangor,Positive
Saya yakin saya akan berjaya pada pilihan raya nanti,jaya pilih,Positive
"Kita tak mahu ada yang salah guna bantuan diberi, kerana peruntukan untuk jayakan program- program ini merupakan satu amanah bagi Yayasan Sejahtera yang diberi kepercayaan dan dana oleh Yayasan Hasanah untuk menggerakkan aktiviti- aktiviti ini",salah bantu rana jaya program- rupa amanah yayasan sejahtera percaya yayasan hasanah gerak aktiviti-,Positive
"Sebagai tuan rumah, Malaysia harus mematuhi syarat-syarat yang ditetapkan termasuk membenarkan kemasukan diplomat Israel",tuan patuh syarat masuk masuk diplomat israel,Positive
"Sudah, cukuplah... jangan pandai-pandai membuat komen mengenai Taman Ilmu yang dibangunkan untuk pendidikan masa depan rakyat Terengganu.",pandai komen taman ilmu bangun didik terengganu,Positive
"Kita hendak mendekati masyarakat dengan cara sebegini sesuai dengan cogan kata Polis Diraja Malaysia (PDRM), iaitu ‘Polis dan Masyarakat Berpisah Tiada’,",sesuai cogan diraja pdrm pisah,Positive
"Saya juga sangat tahu bahawa moderator, Nazri Kahar, adalah seorang penyanjung Tun Dr Mahathir dan pengkritik Datuk Seri Najib, dan ini terbukti dari soalan yang diberikan sejam sebelum wacana bermula yang meminta dibandingkan tokoh muda yang penuh korupsi dengan tokoh tua yang penuh inovasi",moderator nazri kahar sanjung mahathir kritik bukti jam wacana banding tokoh muda penuh korupsi tokoh tua penuh inovasi,Negative
Inflasi dan pengangguran pada paras rendah,inflasi anggur,Negative
Saya bimbang lihat pengguna jalan raya yang menggunakan telefon bimbit terutamanya penunggang motosikal. Ini adalah satu tindakan yang tidak wajar kerana ia boleh mengganggu dan membahayakan nyawa pengguna jalan raya lain,bimbang lihat telefon bimbit tunggang motosikal tindak wajar rana ganggu bahaya nyawa,Negative
"Oleh itu, slogan 'Ini Kalilah' pada PRU lalu tidak membawa banyak kesan dan perubahan kepada pengundi Melayu,",slogan pru bawa kesan ubah undi melayu,Negative
Ini adalah pendekatan yang sebaik-baiknya,,Positive
" Surat untuk tukar hak milik bersama Felda, tinggal nak daftar.",surat tukar hak milik felda tinggal daftar,Negative
Saya harap jentera tahu tanggungjawab masing-masing,harap jentera tanggungjawab,Positive
"Mazlan adalah individu yang dikenali ramai dan dari rekod lalu, beliau telah memberikan kerjasama yang sangat baik terhadap pihak berkuasa serta tidak pernah melarikan diri.",mazlan individu nali rekod hadap lari,Negative
"Oleh itu, kita boleh menjangkakan aktiviti mencari kerja dan pengambilan pekerja akan meningkat tahun ini",jangka cari ambil tingkat,Negative
Jadi kali ini kita harap kaum India di situ memberi peluang kepada BN untuk memenangi dua kawasan itu supaya kebajikan mereka terjaga,harap kaum situ tang kebaji jaga,Positive
"Apa kena mengena, patutnya duit ini buat aktiviti kempen supaya kurangkan plastik.",patut duit kempen plastik,Negative
"Bagaimanapun, cawangan KWSP Petaling Jaya ditutup buat sementara waktu dan ahli boleh melakukan transaksi di mana-mana cawangan lain atau menerusi I-Akaun",cawangan kwsp petaling jaya tutup ahli laku transaksi cawangan terusi i-akaun,Positive
"kita tidak boleh ‘pakai’ pembangkang sebab kalau kita nak majukan sesebuah wilayah atau negeri, mahupun sebuah negara, kita mesti meletakkan kepercayaan kita kepada sebuah kerajaan yang ada rekod kejayaan dan ada kekuatan serta kemampuan bawa perubahan kepada negara kita",pakai bangkang maju buah mahupun buah mesti letak percaya buah raja rekod jaya kuat bawa ubah,Positive
"Saya tak marah mereka, cuma buat kenyataan sebagai sebahagian daripada parti komponen BN. ",marah nyata komponen,Negative
"Bagaimanapun, ada kes di mana buli siber boleh memberi kesan pada mangsa seburuk atau lebih buruk daripada buli berdepan",buli siber kesan mangsa buruk buruk buli,Negative
"Kita perlu memastikan persekitaran kawasan tersebut bebas daripada sebarang bahaya, selain mempunyai laluan kecemasan secukupnya",bebas bahaya cemas,Negative
Masyarakat telah melihat semua itu dan kita juga melihat generasi kedua masih terbiar,lihat lihat generasi biar,Positive
Tetapi saya berpendapat lebih baik jika perdana menteri tidak pegang jawatan menteri kewangan,pegang jawat,Negative
semuanya tidak bertahan lama sebab dia tidak memberikan perkhidmatan dengan baik.,tahan khidmat,Positive
Latihan dan pembangunan usahawan masa depan ini kami mulakan daripada usia muda,latih bangun usahawan usia muda,Positive
"Saya terbuka, malah sering meminta tunjuk ajar pemimpin tempatan dan menerima komen atau teguran mereka tanpa mengira status sebagai wakil rakyat",buka ajar pimpin terima komen tegur ira status wakil,Positive
Anda kena tanya China Press lah sebab saya tak boleh cakap apa yang berlaku dalam mesyuarat jemaah menteri.,press cakap laku jemaah,Negative
Terima kasih PKR kerana alu-alukan. ,terima kasih pkr rana alu,Negative
"Tuduhan sebegini menyebabkan terjadinya buruk sangka dalam kalangan netizen, lantas menjejaskan reputasi dan integriti anak guam saya",tuduh buruk sangka kalang netizen lantas jejas reputasi integriti guam,Negative
"Kementerian saya berusaha untuk menubuhkan Perbadanan Pengurusan Awam Kebangsaan bagi tujuan mengurus dan memelihara kualiti perumahan rakyat, di samping meningkatkan kualiti kehidupan penduduk B40",tubuh badan bangsa tuju pelihara alit samping tingkat alit hidup duduk,Positive
Apa yang boleh disimpulkan sekarang adalah ia telah memalukan Malaysia di persada antarabangsa.,simpul malu persada,Negative
Hutang negara juga tidak begitu tinggi.,hutang,Negative
"Sehingga kini kita telah berjaya menarik pelabur ke TRX seperti HSBC Bank Malaysia Bhd yang bakal membina ibu pejabat terbesar di Asia Tenggara selain Prudential, Affin Bank Berhad, Lembaga Tabung Haji dan banyak lagi",jaya tarik trx hsbc bina jabat tenggara prudential affin lembaga tabung haji,Positive
"Kalau kita perhatikan juga, sebelum ini mereka gunakan skrip yang sama untuk hentam Bersatu bila mereka keluar dari parti. ",perhati skrip hentam,Negative
"Ini adalah satu keputusan dasar jadi kalau nak dilaksanakan kena ambil kira lah Sabah, Sarawak dan Semenanjung sekali.",putus laksana ambil semenanjung,Positive
"Ramai orang kita, walaupun dalam perkhidmatan awam, tidak boleh menulis surat ringkas",khidmat tulis surat ringkas,Positive
"Jadi, dengan adanya buku ini akan menambah baik prosedur siasatan sekarang",buku prosedur siasat,Positive
Pada ketika ini kami tidak jelas di mana dia ditahan,tahan,Negative
Ini benar-benar menjadi salah satu krisis kemanusiaan paling hebat pada zaman ini,salah krisis manusia hebat zaman,Negative
Perpindahan pejabat PBB Malaysia dari Damansara ke sini akan meningkatkan rangkaian dan memperkukuhkan kerjasama antara petugas PBB serta kementerian dan agensi di Malaysia,pindah jabat pbb damansara tingkat rangkai tugas pbb agens,Negative
"Dulu PAS pernah menang sekali saja, selepas itu Umno dan kemudian PKR",pas menang pkr,Negative
sanggup berbohong bagi menjayakan muslihat politik.,sanggup bohong jaya muslihat,Negative
Tapi mereka melampaui batas (dengan) melindungi penjenayah.,lampau batas lindung jenayah,Negative
Dong Zong sentiasa mengharapkan kerajaan agar dapat membina sekolah rendah Cina dengan lebih bersistematik,zong sentiasa harap raja bina sekolah cina sistematik,Negative
"Saya berharap, pihak MAB  dapat memberi pertimbangan segera berhubung perkara ini dan mencari penyelesaian terbaik membantu komuniti nelayan tempatan untuk memasarkan hasil tangkapan mereka sebagai produk untuk dibawa pulang oleh pelancong di Labuan",harap mab timbang hubung cari selesai bantu komuniti nelayan pasar tangkap bawa pulang lancong labu,Negative
"Malangnya peluang untuk penonton berbicara juga ditutup secara yang, saya dimaklumkan, tidak adil",malang tonton bicara tutup maklum adil,Negative
Keputusan mengejutkan Mahkamah Persekutuan ini sepatutnya menjadi 'wake-up call' kepada pihak kerajaan negeri dan pihak berkuasa agama negeri untuk segera memperkemaskan undang-undang syariah masing-masing,putus kejut sekutu patut wake-up raja agama kemas undang syariah,Negative
Salahguna ini menjadi begitu besar menjelang PRU14,salahguna jelang pru,Negative
Ia turut sama memberi kesan kepada rakyat di Negeri Sembilan,kesan sembilan,Positive
Wakil-wakil rakyat Pakatan Harapan telah pun bertemu dengan kempen SKL untuk menyatakan sokongan mereka.,wakil pakat harap temu kempen skl nyata sokong,Negative
Jangan sembang pasal calon MB jika belum menang,sembang pasal calon mb menang,Negative
"Lebih-lebih lagi tidak lama lagi sambutan Tahun Baharu Cina, bolehlah kami dapat barang murah sebagai persiapan meraikannya",sambut cina barang murah rai,Positive
"Yang penting ialah pentadbiran dan pembangunan negara dibuat secara berhemah, tanpa pembaziran, tanpa rasuah",tadbir bangun berhemah pembaziran rasuah,Negative
"Pada masa sama, ada cadangan dari peringkat pimpinan pertengahan supaya diwujudkan kembali dua jawatan Timbalan Menteri Besar.",cadang pimpin wujud jawat timbal,Positive
"Sekarang ini harga getah jatuh, barang pun mahal, bila tanya kenapa naik harga, pekedai kata sebab minyak, sebab GST",getah jatuh barang mahal kedai gst,Negative
kita tidak ambil hak milik strata,ambil hak milik strata,Positive
Saya amat bersimpati dengan nasib para petani yang terpaksa melalui keadaan sukar untuk memulakan kehidupan baharu selepas bencana banjir.,simpat nasib tani paksa sukar hidup bencana banjir,Negative
Keputusan parlimen EU hanya mencerminkan sentimen pengguna Eropah,putus eu cermin sentimen eropah,Negative
"Jika (bekas pengerusi Felda) Tan Sri Isa Samad ditahan dan diambil keterangan oleh Suruhanjaya Pencegahan Rasuah Malaysia (SPRM), mungkin SPRM selepas ini perlu memanggil Shahrir kerana hak milik bagi lot terbesar tanah dipindahkan ketika beliau sudah menjadi pengerusi",felda isa samad tahan ambil terang suruhanjaya cegah rasuah sprm sprm panggil shahrir rana hak milik pindah,Negative
"Saya bersedia pada bila-bila masa adakan perdebatan itu, terserah kepada beliau untuk tentukan tempat, tarikh dan masa",sedia adakan debat serah tarikh,Negative
Forum ini sebenarnya boleh dilihat sebagai kesinambungan daripada siri perbincangan yang telah diadakan saban tahun. ,forum lihat sinambung siri bincang saban,Positive
Rakyat Malaysia sentiasa terpilih,sentiasa pilih,Positive
Kami dapat sahkan kedua-dua pihak sudah perolehi keputusan secara baik dan sulit.,sahkan putus sulit,Negative
"Kita menegaskan kita tidak akan mengulangi langkah itu, dengan meyakini meskipun akan ada turun naik dalam tempoh jangka pendek",ulang jangka pendek,Positive
Latihan dan pendedahan (diterima) oleh Wan Saiful dan Maria Chin Abdullah dalam pergerakan sosial akan membolehkan mereka menjadi lebih proaktif dalam menangani isu,latih dedah terima wan saiful maria chin gera sosial proaktif tangan,Positive
"Setakat ini keperluan logistik seperti kenderaan, bot dan kemudahan lain untuk pusat pemindahan sementara (PPS) adalah mencukupi,",takat logistik kenderaan bot pindah pps,Positive
Penggiat seni seperti kami susah nak cari makan dan hidup di Malaysia,giat seni susah cari makan hidup,Negative
"Pada dasarnya, penubuhan NTSB ini sudah dipersetujui Kabinet tahun lalu dan sekarang ini kementerian sedang menjalankan sesi libat urus dan perundingan untuk menubuhkan NTSB ini dengan jabatan dan kementerian yang terlibat dengan aspek kemalangan pengangkutan.",tubuh ntsb tuju kabinet libat runding tubuh ntsb jabat libat aspek malang angkut,Negative
"BN Kota Belud akan berusaha untuk mengadakan program ini sekerap yang mungkin bergantung kepada keadaan dan kita akan menentukan lokasi berbeza bagi memberi peluang kepada penduduk yang tinggal di pedalaman Kota Belud menikmati program ini,",kota belud kerap gantung lokasi berbeza duduk tinggal kota belud nikmat,Negative
"Alhamdulillah hasil pengurusan dan pelaburan baik, hari ini KWSP isytihar kadar dividen 6.90 peratus bagi Simpanan Konvensional dan 6.40 peratus bagi Simpanan Syariah",alhamdulillah kwsp isytihar dividen atus simpan konvensional atus simpan syariah,Negative
"Malaysia telah menjadi negara satu parti selama berdekad-dekad, memberi kuasa kepada Umno melakukan persempadanan pilihan raya, dijuarai sekumpulan korporat dan jentera bagi menjana sokongan besar-besaran",berdekad-dekad laku sempadan pilih juara kumpul korporat jentera menjana sokong,Positive
"Selain itu, kita juga berhasrat untuk mewujudkan pembelajaran abad ke-21 apabila sekolah ini siap kelak",hasrat wujud ajar abad ke- sekolah kelak,Negative
SMO adalah alternatif disediakan oleh kerajaan bagi individu yang mahu memproses permohonan PRA sendiri dengan kadar yang minimum,smo alternatif sedia raja individu mohon pra minimum,Negative
"Sejak zaman pemerintahan Penjaga Dua Kota Suci Raja Abdulaziz Al Saud, tidak pernah ada pihak bersaing dengan Arab Saudi dalam pengurusan Haramain ini.",zaman perintah jaga kota suci raja abdulaziz saud saing arab saudi haramain,Negative
Ini merupakan tindak balas daripada beliau selepas merasa terancam dengan pengumuman Tun Mahathir sebelum ini untuk bertanding di Pulau Langkawi,rupa tindak balas ancam mahathir tanding pulau langkawi,Negative
Beliau (Shahrir) berkata pemindahan semula tanpa kos,shahrir pindah,Positive
"Sehingga hari ini, selain dakwaan asas yang terkandung dalam tuntutan sivil itu, DoJ belum mengemukakan sebarang bukti kukuh bahawa Jho Low ialah pemilik sebenar kapal mewah itu ataupun ia dibeli menggunakan dana daripada 1MDB",dakwa kandung tuntut sivil doj muka bukti jho milik kapal mewah beli mdb,Negative
Banyak tindakan telah diambil ke atas mereka yang membuat fitnah.,tindak ambil fitnah,Negative
"Kecuali jika ada persempadanan semula, maka akan ada perubahan di tempat (sekolah) lain",kecuali sempadan ubah sekolah,Positive
"Berdasarkan dapatan tersebut, pilihan raya baru-baru ini telah melihat trend global ke arah lebih ramai Ahli Parlimen muda berusia bawah 45 tahun",pilih lihat trend arah ahli muda usia,Positive
"Semasa Pilihan Raya Umum Ke-13, dakwaan tentang 40,000 rakyat Bangladesh dibawa masuk ke Malaysia bukankah berita palsu?",pilih ke- dakwa bangladesh bawa masuk berita palsu,Negative
Hubungan yang rapat ini penting dalam meningkatkan kebolehpasaran graduan agar dapat menepati kehendak industri selepas mereka bergraduasi,hubung rapat tingkat kebolehpasaran graduan bergraduasi,Negative
Saya tidak peduli apa mereka tulis,peduli tulis,Positive
Kita akan berhubung dengan pihak berkuasa Singapura hari ini bagi mengetahui benar atau tidak suspek adalah penguat kuasa di negara itu,hubung suspek kuat,Negative
"Atas pagar, tak mahu mengundi",pagar undi,Positive
Cita-cita besar yang dirancang untuk Malaysia tidak mungkin menjadi kenyataan jika tidak ada dokongan dan sokongan sepenuhnya,cita rancang nyata dokongan sokong sepenuh,Positive
Ini menunjukkan (wartawan) akhbar itu sendiri yang menulis sebegitu rupa.,wartawan tulis rupa,Positive
"Mereka lebih suka kita draf kenyataan akhbar, atau sertai kokus dan persidangan kecil",suka draf nyata kokus,Positive
Saya amat berharap kejadian seperti ini tidak akan berlaku dalam masyarakat kita yang sepatutnya telah matang,harap laku patut matang,Negative
"Saya harap peluang biasiswa ini tidak dipersia-siakan oleh anak-anak kita, rebutlah peluang ini untuk melakar masa depan dan jadikanlah ia sebagai satu platform untuk menyumbang kembali kepada negara pada masa hadapan",harap biasiswa sia rebut lakar platform sumbang hadap,Negative
"Dalam kebanyakan perdana menteri, Najib adalah perdana menteri yang begitu dekat dengan rakyat, beri BR1M, jaga ekonomi baik",brm jaga,Positive
Kepimpinan sekarang mewarisi perjuangan terdahulu khususnya Tuan Guru Nik Aziz yang tidak pernah keluar PAS dan meninggal (ketika berada) dalam parti,pimpin waris juang khusus tuan guru nik aziz pas tinggal,Positive
"apabila pegawai kerajaan sepatutnya dikecualikan, dibenarkan mendengar semua perbincangan politik, barulah mereka mendapat semua maklumat untuk membuat pilihan terbaik",raja patut kecuali dengar bincang pilih,Negative
Pasukan kami melakukan yang terbaik untuk menyelesaikan masalah ini secepat mungkin,pasu laku selesai cepat,Negative
Dulu jurangnya begitu ketara,jurang tara,Positive
"Mungkin saya bukan pakar ekonomi tetapi kita membawa bersama pakar ekonomi dan mereka mendapat penjelasan, orang yang mengadu (di kalangan pembangkang lain) ini tak dapat penjelasan.",pakar bawa pakar adu kalang bangkang,Negative
Sebab itu kita perlu berhati-hati kerana fitnah ini kesannya sangat buruk dan hukumnya haram dan berdosa kepada penyebar atau menerima bulat-bulat tanpa usul periksa,hati rana fitnah kesan buruk hukum haram dosa sebar terima bulat usul periksa,Negative
"Mereka bukan bersaing untuk pasaran lebih, mereka bersaing sesama sendiri untuk dapatkan pelanggan sama",saing pasar saing langgan,Negative
Selepas itu tiada lagi pertemuan saya dengan Menteri Besar,temu,Negative
"Proses berkenaan, perlu dilaksanakan secara berperingkat dan teratur bagi memastikan perkhidmatan terbaik sentiasa dapat disampaikan kepada rakyat",laksana atur khidmat sentiasa,Positive
Pada kebiasaannya BN akan meletakkan calon lain bagi kerusi Dun dan Parlimen untuk memaksimumkan wakil rakyat yang ada,letak calon kerusi dun maksimum wakil,Negative
"PROTON beri tawaran tanpa perkiraan yang wajar, sekarang tak berapa kena",tawar wajar,Positive
"Jika kita bersama (bersatu), maka Allah SWT bersama kita, tapi kita tidak bersatu",allah swt,Positive
Bagaimanapun pemantauan akan terus dilakukan dari semasa ke semasa,pantau laku,Negative
Kehadiran pemerhati asing pada PRU14 dialu-alukan ,hadir perhati pru alu,Positive
"Sepatutnya bila anda buat kajian, anda patut tahu apa sebenarnya komuniti (LGBT) ini, apa isu mereka, apa sebenarnya perbezaan komuniti LGBT ini",patut kaji patut komuniti lgbt perbezaan komuniti lgbt,Negative
"Selepas menghadiri sesi soal jawab lisan di Parlimen pagi ini, saya di temuramah oleh wartawan The Australian",hadir lisan temuramah wartawan australian,Positive
Kerajaan sedang meneliti bukan hanya desakan daripada NGO atau pemimpin pelbagai pihak tetapi juga berdasarkan tiga elemen penting dalam penubuhan RCI Isu Memali ini,raja teliti desa ngo pimpin elemen tubuh rci pali,Positive
"Sekarang, kita serah kepada polis untuk melakukan siasatan penuh berhubung perkara ini",serah laku siasat penuh hubung,Negative
"Jadi, saya anjurkan semua pihak termasuk pemaju perumahan supaya melaksanakan pendekatan ini.",anjur masuk maju laksana,Positive
Kawasan bandar yang majoriti Melayu pula Pas mungkin ada peluang.,majoriti melayu pas,Positive
Ada juga anggota Parlimen Eropah yang simpati dan mahu mengekalkan hubungan perdagangan yang baik dengan negara pengeluar minyak sawit,eropah simpati hubung dagang,Negative
"Memandang kepada situasi kini, BN mendahului kerana dalam pertandingan 3 penjuru, undi PAS ditarik oleh Amanah",pandang situasi rana tanding penjuru undi pas tarik amanah,Negative
"Jadi, sehingga kami menyelesaikan siasatan, kami menasihati orang ramai supaya berhati-hati",selesai siasat nasihat hati,Negative
Begitu juga BN Jasin yang bekerja keras selepas kemenangan PRU13.,jasin keras menang pru,Negative
pengusaha-pengusaha kereta sewa menerima tempias daripada momentum pilihan raya apabila kebanyakan mereka menerima tempahan berganda sejak seminggu lalu daripada pelbagai pihak.,sewa terima tempias momentum pilih terima tempah ganda,Positive
Aktiviti penguatkuasaan mereka juga dikoordinasikan dengan pihak polis supaya tindakan ini akan membawa hasil lebih baik,penguatkuasaan koordinasi tindak bawa,Negative
Puncanya tidak dapat dipastikan sama ada mereka kekurangan atau ketiadaan calon berwibawa yang berupaya membawa cabaran,punca calon wibawa upaya bawa cabar,Negative
"Dalam sejarah perjuangan PAS, kita tidak pernah meminta campur tangan orang luar.",sejarah juang pas campur tangan,Negative
Selepas bayar (nak tutup 1MDB)?,bayar tutup mdb,Negative
"Mengenai pencalonan Wanita UMNO dalam Pilihan Raya Umum ke-14 (PRU-14), saya sudah berbincang panjang lebar dengan Presiden UMNO. ",calon pilih ke- pru- bincang lebar,Positive
Orang ramai dinasihatkan agar sentiasa waspada serta berhati-hati dan menyemak kesahihan tawaran-tawaran seperti ini dengan menghubungi pihak kementerian atau jabatan berkaitan melalui saluran komunikasi rasmi,nasihat sentiasa waspada hati semak sahih tawar hubung jabat kait salur komunikasi rasmi,Positive
Ini membuktikan ahli dan penyokong masih melahirkan sokongan tidak berbelah bahagi buat parti ini dan bersemangat untuk berjuang pada PRU14 nanti,bukti ahli sokong lahir sokong belah bahagi semangat juang pru,Negative
Orang ramai dinasihatkan agar sentiasa waspada serta berhati-hati dan menyemak kesahihan tawaran-tawaran seperti ini dengan menghubungi pihak kementerian atau jabatan berkaitan melalui saluran komunikasi rasmi,nasihat sentiasa waspada hati semak sahih tawar hubung jabat kait salur komunikasi rasmi,Positive
Dua keputusan Mahkamah Persekutuan baru-baru ini mengesahkan prinsip undang-undang dalam keistimewaan Parlimen dan ketidakadilan terhadap prosidingnya,putus sekutu kesah prinsip undang istimewa ketidakadilan hadap prosidingnya,Negative
kekal sama dari segi matlamat dan agenda setiap parti pembangkang yang berusaha untuk menjatuhkan kerajaan.,matlamat agenda bangkang jatuh raja,Negative
"Tapi sekarang setelah pokok ditebang dan ditanam semula, setiap peneroka dibayar RM1,300 sebulan pinjaman sara hidup.",pokok tebang tanam teroka bayar rm pinjam sara hidup,Positive
Kami hantar barangan ke sana dengan kontena dan ia habis dengan begitu cepat sekali,hantar kontena habis cepat,Negative
"Institusi ini diharapkan mampu untuk mengimbangkan suasana sukar, sekiranya timbul dalam sistem demokrasi.",institusi harap imbang suasana sukar sekira timbul demokrasi,Negative
Amanah dan Bersatu digambarkan gagal memenangi hati pengundi Melayu luar bandar kerana perpecahan ini,amanah gambar gagal tang hati undi melayu rana pecah,Negative
"Semua orang Melayu undi sama setiap individu. Ada hak untuk undi sesiapa saja,",melayu undi individu hak undi,Positive
Apa yang berlaku di bahagian dunia lain juga memberi kesan kepada Malaysia,laku kesan,Negative
Jadi diplomat itu hadir atas kapasiti dan kedudukannya sebagai negara anggota PBB,diplomat hadir kapasiti duduk pbb,Negative
"Ini langkah untuk menakut-nakutkan pemberi maklumat yang mahu mendedahkan penyalahgunaan kuasa, rasuah dan jenayah kolar putih lain",takut dedah penyalahgunaan rasuah jenayah kolar putih,Negative
Dia membawa anaknya untuk menganut Islam di Perlis,bawa anut lis,Positive
Masalahnya adalah Umno nak cari kemenangan kelirukan pengundi,cari menang keliru undi,Negative
"Kalau dulu masa mula-mula masuk Felda, kami diberi RM200 sebulan untuk pinjaman pendahuluan sara hidup sementara peneroka nak tunggu hasil.",masuk felda rm pinjam sara hidup teroka tunggu,Positive
Kadang-kala pasar tani boleh dijadikan destinasi persinggahan bersama keluarga dan kerana itu saya bukan sekadar mahu pasar tani berada dalam keadaan bersih dan tersusun tapi juga mempunyai kepelbagaian produk,kadang-kala pasar tani destinasi singgah keluarga rana pasar tani bersih susun,Positive
Keputusan rayuan saya akan diputuskan pada 1 Jun nanti jadi ada dua bulan lagi untuk sabitan melanggar Akta Rahsia Rasmi (OSA),putus rayu putus sabit langgar akta rahsia rasmi osa,Negative
"Setiap kali saya pergi ke mana sahaja, orang Melayu dan Cina akan tanya saya adakah benar catatan Facebook itu.",pergi melayu cina catat facebook,Negative
Begitu juga dengan hal-hal lain,,Positive
Himpunan ini dibuat oleh tentera upahan yang selama ini berada dalam Bersatu yang selama ini tidak mempunyai keikhlasan menumbangkan Umno.,himpun tentera upah ikhlas tumbang,Negative
"Kalau nak dikatakan berjuang untuk baiki negara, mereka jugalah diantara yang pernah meruntuhkan negara satu masa dulu.",juang runtuh,Negative
Warga media juga terdedah kepada pelbagai situasi yang mungkin membahayakan keselamatan mereka semasa membuat liputan sepanjang kempen PRU-14.,warga dedah situasi bahaya selamat liput kempen pru-,Negative
Model bisnes yang pengurusan Proton laksanakan sebelum ini masih tidak ada pulangan,model bisnes laksana pulang,Positive
"Saya perasan beberapa projek dilaksanakan di tempat yang salah, dan harganya bagi saya bukan betul-betul murah",peras laksana salah murah,Negative
"Telah disebut tadi embargo sehingga Rabu, biar disitu dulu. ",embargo biar situ,Positive
"Janganlah kita sibuk meletakkan kesalahan terhadap aspek pemakaian wanita, sebaliknya berganding bahu memberikan penyelesaian bersifat menyeluruh dan tuntas",sibuk letak salah hadap aspek pakai ganding bahu selesai sifat tuntas,Negative
"Pakatan pembangkang jika berpeluang mentadbir negara, pasti akan menjadi kerajaan yang akan membalas dendam",pakat bangkang tadbir raja balas dendam,Negative
